seed,arm,conservation_ok,edge_enrichment,edge_cross_fraction,adjacent_edges,raw_contact,condition_variance,alive,role_balance
6019,place_memory_scrambled,True,-0.0948898623,0.408661181,74.4875,0.621603266,0.148123169,56.1375,0.460079015
6020,construction_off,True,-0.0599607904,0.445043479,67.2,0.630668942,0,65.9875,0.47194813
6020,local_construction,True,0.0497010415,0.551418108,116.3875,0.9008212,1.9997879,60.8125,0.454114828
6020,place_memory_scrambled,True,0.0380393193,0.544240923,67.55,0.769626499,1.23035355,60.525,0.47226713
6021,construction_off,True,-0.150807029,0.353252881,68.0125,0.521210025,0,56.95,0.459806679
6021,local_construction,True,0.0214393727,0.526489536,169.9,0.840538326,2.11255112,67.7375,0.471508104
6021,place_memory_scrambled,True,0.0224614357,0.529725664,55.6875,0.773225978,1.351548,46.2,0.46589152
6022,construction_off,True,-0.0249170662,0.480429802,80.475,0.712524568,0,67.75,0.471917708
6022,local_construction,True,0.0461354629,0.551937264,103.1,0.861827948,1.42457352,65.1125,0.476596649
6022,place_memory_scrambled,True,0.0607162144,0.566396304,88.1875,0.862782227,1.43619003,74.325,0.481233991
6023,construction_off,True,-0.0875646571,0.419755128,68.6,0.63018875,0,58.3875,0.479440317
6023,local_construction,True,0.0156062663,0.520770045,102.85,0.817406897,1.50233688,62.3,0.468229986
6023,place_memory_scrambled,True,0.0734129949,0.5800918,69.4125,0.822553011,1.54754715,64.575,0.479678178
6024,construction_off,True,-0.0415482663,0.459668298,64.5875,0.658989517,0,62.2375,0.450623597
6024,local_construction,True,0.0157983783,0.52179487,71.8125,0.770812945,1.76589966,60.725,0.471523056
6024,place_memory_scrambled,True,0.0503802801,0.552371944,57.8625,0.788859228,1.42862625,54.925,0.452907634
6025,construction_off,True,-0.0219936939,0.483957187,82.375,0.693865087,0,73.1125,0.481790438
6025,local_construction,True,0.0389861273,0.543194776,81.15,0.81275648,1.66240158,61.7125,0.462930304
6025,place_memory_scrambled,True,-0.0216237989,0.48345788,48.275,0.658221736,1.1837471,49.275,0.457131452
6026,construction_off,True,-0.0293645541,0.4761004,80.675,0.682667842,0,71.3125,0.476550461
6026,local_construction,True,-0.0129810848,0.491000271,91.325,0.75915455,2.17054062,62.2875,0.459817013
6026,place_memory_scrambled,True,0.0245150804,0.529374941,82,0.770061541,1.15875168,66.7875,0.467953555
6027,construction_off,True,-0.160907795,0.344634978,64.7875,0.529629417,0,55.45,0.462631724
6027,local_construction,True,0.061941823,0.566963772,94.6125,0.876400475,1.81455002,67.95,0.470135219
6027,place_memory_scrambled,True,-0.0838723019,0.423656745,48.6375,0.562896946,1.63805771,47.2625,0.466244695
6028,construction_off,True,-0.105060473,0.400023073,80.8875,0.576132638,0,66.375,0.472614772
6028,local_construction,True,0.0422535918,0.546794296,90.5875,0.838652566,1.71986847,61.725,0.46482469
6028,place_memory_scrambled,True,0.0290222686,0.53563125,67,0.791387615,1.32922668,53.0625,0.471078154
6029,construction_off,True,-0.0404735218,0.465434697,85.225,0.685985133,0,64.9,0.474592108
6029,local_construction,True,-0.047398894,0.45553012,66.9125,0.7362099,1.13645935,46.7875,0.448969634
6029,place_memory_scrambled,True,-0.0220982895,0.483575078,65.8125,0.716035975,0.922999573,61.9625,0.474090031
6030,construction_off,True,-0.0285080161,0.474862381,68.6375,0.702735529,0,65.2625,0.461699946
6030,local_construction,True,0.0230838642,0.530028016,118.6,0.834839254,1.52794113,57.45,0.474205093
6030,place_memory_scrambled,True,-0.045936038,0.459573926,70.5,0.680035094,0.728141022,62.3375,0.469691627
6031,construction_off,True,-0.0936183905,0.409674085,72.95,0.597251578,0,66.075,0.461887262
6031,local_construction,True,0.037706435,0.543110385,69.7,0.852211535,1.86621475,46.15,0.454053705
6031,place_memory_scrambled,True,-0.0568502672,0.443660102,63.6,0.68300971,0.0745506287,58.7625,0.448868585
6032,construction_off,True,-0.0452533818,0.460702234,81,0.684445633,0,65.9625,0.474536405
6032,local_construction,True,0.0265371776,0.533140387,172.75,0.876188043,1.38589859,55.275,0.470860097
6032,place_memory_scrambled,True,-0.154646972,0.349018679,48.725,0.497500912,1.19557953,43.5625,0.452696701
6033,construction_off,True,-0.0977450644,0.406996589,75.2875,0.633832762,0,54.7875,0.461075339
6033,local_construction,True,0.0457990846,0.5520435,98.5125,0.903472266,1.48954391,48.9125,0.459534027
6033,place_memory_scrambled,True,-0.0418482537,0.46424897,68.0875,0.686060658,0.912958527,62.0125,0.474513724
6034,construction_off,True,-0.0651453461,0.43920962,72.8,0.617843131,0,67.175,0.466032099
6034,local_construction,True,0.0310254265,0.535426338,92.1125,0.799039174,0.826502991,67.975,0.468724828
6034,place_memory_scrambled,True,0.0367010999,0.54194067,60.475,0.771525799,1.32611465,57.55,0.464687091
6035,construction_off,True,-0.0416915362,0.461133321,65.0125,0.69810033,0,56.825,0.453582187
6035,local_construction,True,0.0207523734,0.525420103,143.1625,0.8118247,1.00399551,63.1625,0.464208933
6035,place_memory_scrambled,True,0.0288575571,0.523742951,63.6,0.766880435,1.50061493,48.075,0.423755995
6036,construction_off,True,0.0124729928,0.516568008,87.575,0.753280093,0,70.1625,0.468719915
6036,local_construction,True,0.0461885377,0.551116975,105.9,0.829163219,2.33093414,73.2125,0.474864439
6036,place_memory_scrambled,True,0.0476596906,0.551018492,61.3,0.774448107,1.25470505,61.25,0.463119352
6037,construction_off,True,-0.170431419,0.335909125,65.4125,0.500860673,0,62.175,0.475553278
6037,local_construction,True,0.0442478711,0.549310108,149.6875,0.900607534,0.892177582,65.4,0.469548746
6037,place_memory_scrambled,True,0.0108160452,0.514716069,60.4375,0.755648774,1.42882538,53.9125,0.464718787
